Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
114, Rochester Institute of Technology,us,1829,1547.0,20570.0,50000.0,312388.0,1274000000.0
115, University of Vermont,us,1791,4125.0,14088.0,17500.0,1179730.0,896000000.0
116, Utah State University,us,1888,1101.0,28900.0,7500.0,1238984.0,538400000.0
117, Université Laval,ca,1852,2103.0,47690.0,1000.0,1501361.0,260940000.0
118, Queen's University,ca,1841,3925.0,33842.0,5000.0,1501361.0,980000000.0
119, American University,us,1893,2103.0,13019.0,50000.0,795299.0,1032000000.0
120, Case Western Reserve University,us,1826,1182.0,12475.0,50000.0,1184207.0,2397000000.0
121, Fordham University,us,1841,747.0,16556.0,50000.0,1099406.0,972000000.0
122, Virginia Commonwealth University,us,1838,3279.0,28919.0,15000.0,1357099.0,2720000000.0
124, Oklahoma State University,us,1890,1337.0,26805.0,7500.0,1977786.0,1004000000.0
125, The University of Alabama,us,1831,1986.0,39622.0,10000.0,2070476.0,1220000000.0
126, Toronto Metropolitan University,ca,1948,2103.0,47350.0,5000.0,1501361.0,943300000.0
127, West Virginia University,us,1867,1870.0,24200.0,7500.0,1233721.0,583920000.0
128, Portland State University,us,1946,1951.0,21040.0,7500.0,1071878.0,678300000.0
129, Auburn University,us,1856,1432.0,34195.0,10000.0,1660975.0,1100000000.0
130, Rensselaer Polytechnic Institute,us,1824,488.0,8142.0,50000.0,257853.0,598030000.0
131, University of Ottawa,ca,1848,2911.0,48800.0,5000.0,1501361.0,222390000.0
132, Tulane University,us,1834,1200.0,14027.0,50000.0,1829754.0,2109999999.9999998
133, The University of Tennessee at Martin,us,1927,835.0,6873.0,7500.0,280228.0,51000000.0
134, Carleton University,ca,1942,5328.0,30760.0,5000.0,1501361.0,250149999.99999997
135, University of Alabama at Birmingham,us,1969,3096.0,24259.0,7500.0,909616.0,1000000000.0
136, Wayne State University,us,1868,2320.0,23964.0,15000.0,1561853.0,507000000.0
137," University at Albany, State University of New York",us,1844,675.0,16658.0,10000.0,1281987.0,100900000.0
138, Southern New Hampshire University,us,1932,161.0,3913.0,15000.0,97859.0,40000000.0
139, Baylor University,us,1845,1167.0,20824.0,50000.0,1262208.0,1970000000.0
140, University of Arkansas,us,1871,1490.0,32140.0,7500.0,1053333.0,1700000000.0
141," University of Maryland, Baltimore County",us,1966,1288.0,14148.0,10000.0,893083.0,167100000.0
142, Texas Tech University,us,1923,2094.0,40969.0,10000.0,2988821.0,2230000000.0
143, San José State University,us,1857,2179.0,36062.0,7500.0,836298.0,250800000.00000003
144, University of North Carolina at Charlotte,us,1946,1456.0,30298.0,5000.0,761111.0,344500000.0
145, Mississippi State University,us,1878,1359.0,22649.0,7500.0,1973248.0,698200000.0
146, San Francisco State University,us,1899,1822.0,22029.0,5000.0,914530.0,161400000.0
147, The University of Texas MD Anderson Cancer Center,us,1941,2103.0,26809.0,5000.0,12028.0,1125000000.0
148, Dalhousie University,ca,1818,867.0,20970.0,7500.0,1501361.0,471710000.0
149, University of Saskatchewan,ca,1907,2103.0,26694.0,2500.0,1501361.0,352380000.0
150, University of Guelph,ca,1964,830.0,29923.0,7500.0,1501361.0,308010000.0
151, Brandeis University,us,1948,544.0,5302.0,50000.0,998146.0,1260000000.0
152, University of Wisconsin-Milwaukee,us,1885,684.0,22937.0,7500.0,255496.0,323000000.0
153, Southern Methodist University,us,1911,1151.0,12116.0,50000.0,1548747.0,2120000000.0
154, Marquette University,us,1881,1200.0,11200.0,45000.0,1278386.0,916800000.0
155, Kansas State University,us,1863,1404.0,20295.0,10000.0,1119164.0,952280000.0
156, Kent State University,us,1910,2623.0,25630.0,10000.0,1148534.0,301400000.0
157, University of Manitoba,ca,1877,5252.0,30370.0,2500.0,1501361.0,878000000.0
158," University of Nevada, Reno",us,1874,1082.0,20945.0,7500.0,666944.0,458000000.0
159, Concordia University,ca,1974,4439.0,49898.0,2500.0,1501361.0,238110000.0
160, Stony Brook University,us,1957,3027.0,25710.0,10000.0,1445527.0,390500000.0
161, DePaul University,us,1898,862.0,21348.0,40000.0,547711.0,907600000.0
162," California State University, Northridge",us,1958,2187.0,36368.0,5000.0,734260.0,229400000.0
163, University of Denver,us,1864,782.0,13384.0,50000.0,1369915.0,1020000000.0
166," University of Nevada, Las Vegas",us,1957,1000.0,31142.0,7500.0,923019.0,388400000.0
167, Northern Illinois University,us,1895,2103.0,15649.0,12500.0,2694413.0,99800000.0
168, Florida Atlantic University,us,1961,1600.0,23683.0,2500.0,866328.0,285000000.0
169, Oregon Health & Science University,us,1887,2103.0,4123.0,20000.0,77495.0,829700000.0
170, Michigan Technological University,us,1885,477.0,7009.0,17500.0,372947.0,151520000.0
171, The University of Texas at Dallas,us,1969,2784.0,30885.0,12500.0,1210008.0,859000000.0
172," California Polytechnic State University, San Luis Obispo",us,1901,1469.0,21497.0,10000.0,262469.0,285300000.0
173, New Mexico State University,us,1888,2519.0,21694.0,5000.0,900976.0,343300000.0
174, Montana State University,us,1893,1370.0,17144.0,7500.0,491618.0,264000000.0
175, Quinnipiac University,us,1929,350.0,9744.0,50000.0,116951.0,674000000.0
176, United States Military Academy,us,1802,580.0,4294.0,10000.0,461198.0,422000000.0
177, Loyola University Chicago,us,1870,784.0,17159.0,45000.0,925437.0,1150000000.0
178, University of Rhode Island,us,1892,675.0,18061.0,15000.0,934078.0,203000000.0
179, Santa Clara University,us,1851,911.0,9178.0,50000.0,562054.0,1470000000.0
180, University of Idaho,us,1889,2103.0,11849.0,7500.0,893707.0,465000000.0
181, Northern Arizona University,us,1899,1115.0,28194.0,10000.0,574260.0,198200000.0
182, Indiana University-Purdue University Indianapolis,us,1969,2500.0,29390.0,10000.0,2584030.0,1150000000.0
183, Université du Québec à Montréal,ca,1969,3267.0,39427.0,1000.0,1501361.0,198200000.0
184, University of Wyoming,us,1886,1002.0,10813.0,5000.0,1580593.0,776100000.0
185, University of Louisville,us,1798,1787.0,23225.0,10000.0,464874.0,918000000.0
186, University of Missouri-Kansas City,us,1933,661.0,15327.0,10000.0,820086.0,204140000.0
187, Swarthmore College,us,1864,207.0,1699.0,50000.0,695831.0,2700000000.0
188," Binghamton University, State University of New York",us,1946,768.0,18454.0,10000.0,1694157.0,180000000.0
189, The University of Maine,us,1865,578.0,10878.0,10000.0,1598021.0,444900000.0
191, Wake Forest University,us,1834,2103.0,9121.0,50000.0,975291.0,1860000000.0
192, University of Mississippi,us,1848,2103.0,24710.0,7500.0,1507663.0,840000000.0
193, Bowling Green State University,us,1910,1982.0,20395.0,12500.0,858757.0,155700000.0
194, Middle Tennessee State University,us,1911,1223.0,20488.0,7500.0,658925.0,108900000.0
195, Saint Louis University,us,1818,2022.0,15204.0,10000.0,1501361.0,1710000000.0
196," University of Maryland, Baltimore",us,1807,2321.0,6239.0,10000.0,246706.0,1500000000.0
197, Western Michigan University,us,1903,751.0,17605.0,12500.0,1513540.0,640200000.0
198, Baylor College of Medicine,us,1900,5486.0,1577.0,10000.0,122927.0,1600000000.0
199, The New School,us,1919,2230.0,10186.0,50000.0,288816.0,393500000.0
200, Nova Southeastern University,us,1964,1676.0,20576.0,30000.0,520098.0,185000000.0
